model,id,vendor,input_per_million,output_per_million,cached_input_per_million,context_tokens,agent_rank,agent_category,batch,article,article_url,catalog_url,checked
Gemini 3.7 Flash,google/gemini-3.7-flash:batch,google,0.1875,0.9375,0.01875,1048576,3,androidnative,True,,,https://openrouter.ai/google/gemini-3.7-flash:batch,2026-08-22
Gemini 3 Flash Preview,google/gemini-3-flash-preview:batch,google,0.25,1.5,,1048576,9,agenticslides,True,,,https://openrouter.ai/google/gemini-3-flash-preview:batch,2026-08-22
MiniMax M3,minimax/minimax-m3,minimax,0.3,1.2,0.06,1048576,10,python-pptxslides,False,"1.6 Billion Free Tokens Is a Compression Ratio, Not a Strategy",https://xyzs996.github.io/ai-coding-field-notes/articles/1-6-billion-free-tokens-is-a-compression-ratio-not-a.html,https://openrouter.ai/minimax/minimax-m3,2026-08-22
MiniMax M3,minimax/minimax-m3:batch,minimax,0.3,1.2,0.06,524288,10,python-pptxslides,True,"1.6 Billion Free Tokens Is a Compression Ratio, Not a Strategy",https://xyzs996.github.io/ai-coding-field-notes/articles/1-6-billion-free-tokens-is-a-compression-ratio-not-a.html,https://openrouter.ai/minimax/minimax-m3:batch,2026-08-22
Gemini 3.6 Flash,google/gemini-3.6-flash:batch,google,0.375,1.875,0.0375,1048576,6,agenticgamedev,True,,,https://openrouter.ai/google/gemini-3.6-flash:batch,2026-08-22
Gemini 3.7 Flash,google/gemini-3.7-flash,google,0.375,1.875,0.0375,1048576,3,androidnative,False,,,https://openrouter.ai/google/gemini-3.7-flash,2026-08-22
GLM 4.7,z-ai/glm-4.7,z-ai,0.4,1.75,0.08,204800,27,androidnative,False,,,https://openrouter.ai/z-ai/glm-4.7,2026-08-22
Kimi K2.5,moonshotai/kimi-k2.5,moonshotai,0.45,2.25,0.07,262144,9,godotgamedev,False,,,https://openrouter.ai/moonshotai/kimi-k2.5,2026-08-22
GLM 4.6,z-ai/glm-4.6,z-ai,0.5,2.0,0.1,204800,13,godotgamedev,False,,,https://openrouter.ai/z-ai/glm-4.6,2026-08-22
Gemini 3 Flash Preview,google/gemini-3-flash-preview,google,0.5,3.0,0.05,1048576,9,agenticslides,False,,,https://openrouter.ai/google/gemini-3-flash-preview,2026-08-22
DeepSeek V4 Pro 0423,deepseek/deepseek-v4-pro,deepseek,0.532092,1.064184,0.044341,1048576,27,godotgamedev,False,,,https://openrouter.ai/deepseek/deepseek-v4-pro,2026-08-22
Kimi K2.6,moonshotai/kimi-k2.6,moonshotai,0.5605,2.36,0.0944,262144,2,agentichtmlslides,False,,,https://openrouter.ai/moonshotai/kimi-k2.6,2026-08-22
GLM 5,z-ai/glm-5,z-ai,0.6,1.92,0.12,204800,16,godotgamedev,False,,,https://openrouter.ai/z-ai/glm-5,2026-08-22
Kimi K2.7 Code,moonshotai/kimi-k2.7-code,moonshotai,0.67,3.4,0.17,262144,7,htmlslides,False,,,https://openrouter.ai/moonshotai/kimi-k2.7-code,2026-08-22
Gemini 3.6 Flash,google/gemini-3.6-flash,google,0.75,3.75,0.075,1048576,6,agenticgamedev,False,,,https://openrouter.ai/google/gemini-3.6-flash,2026-08-22
Gemini 3.5 Flash,google/gemini-3.5-flash:batch,google,0.75,4.5,0.075,1048576,3,agenticslides(python-pptx),True,,,https://openrouter.ai/google/gemini-3.5-flash:batch,2026-08-22
GPT-5.2,openai/gpt-5.2:batch,openai,0.875,7.0,0.0875,400000,18,godotgamedev,True,,,https://openrouter.ai/openai/gpt-5.2:batch,2026-08-22
Kimi K2.7 Code,moonshotai/kimi-k2.7-code:batch,moonshotai,0.95,4.0,0.19,262144,7,htmlslides,True,,,https://openrouter.ai/moonshotai/kimi-k2.7-code:batch,2026-08-22
GLM 5.1,z-ai/glm-5.1,z-ai,0.966,3.036,0.1794,204800,3,agenticslides,False,,,https://openrouter.ai/z-ai/glm-5.1,2026-08-22
GLM 5.2,z-ai/glm-5.2,z-ai,0.966,3.036,0.1932,1048576,9,agenticgamedev,False,,,https://openrouter.ai/z-ai/glm-5.2,2026-08-22
Claude Sonnet 5,anthropic/claude-sonnet-5:batch,anthropic,1.0,5.0,0.1,1000000,4,agenticgamedev,True,,,https://openrouter.ai/anthropic/claude-sonnet-5:batch,2026-08-22
Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview:batch,google,1.0,6.0,,1048576,5,agentichtmlslides,True,,,https://openrouter.ai/google/gemini-3.1-pro-preview:batch,2026-08-22
GLM 5V Turbo,z-ai/glm-5v-turbo,z-ai,1.2,4.0,0.24,202752,5,androidnative,False,,,https://openrouter.ai/z-ai/glm-5v-turbo,2026-08-22
Grok 4.20,x-ai/grok-4.20,x-ai,1.25,2.5,0.2,2000000,12,htmlslides,False,,,https://openrouter.ai/x-ai/grok-4.20,2026-08-22
Grok 4.3,x-ai/grok-4.3,x-ai,1.25,2.5,0.2,1000000,9,pptxslides,False,,,https://openrouter.ai/x-ai/grok-4.3,2026-08-22
Muse Spark 1.1,meta/muse-spark-1.1,meta,1.25,4.25,0.15,1048576,7,agenticgamedev,False,"1.6 Billion Free Tokens Is a Compression Ratio, Not a Strategy",https://xyzs996.github.io/ai-coding-field-notes/articles/1-6-billion-free-tokens-is-a-compression-ratio-not-a.html,https://openrouter.ai/meta/muse-spark-1.1,2026-08-22
Muse Spark 1.2,meta/muse-spark-1.2,meta,1.25,4.25,0.15,1048576,9,webapps,False,,,https://openrouter.ai/meta/muse-spark-1.2,2026-08-22
GPT-5.4,openai/gpt-5.4:batch,openai,1.25,7.5,0.125,1050000,22,godotgamedev,True,,,https://openrouter.ai/openai/gpt-5.4:batch,2026-08-22
GPT-5.1-Codex,openai/gpt-5.1-codex,openai,1.25,10.0,0.13,400000,23,mobileapps,False,,,https://openrouter.ai/openai/gpt-5.1-codex,2026-08-22
GLM 5.2,z-ai/glm-5.2:batch,z-ai,1.4,4.4,0.26,1048575,9,agenticgamedev,True,,,https://openrouter.ai/z-ai/glm-5.2:batch,2026-08-22
Qwen3.7 Max,qwen/qwen3.7-max,qwen,1.475,4.425,0.295,1000000,8,godotgamedev,False,,,https://openrouter.ai/qwen/qwen3.7-max,2026-08-22
Claude Sonnet 4.5,anthropic/claude-sonnet-4.5:batch,anthropic,1.5,7.5,0.15,1000000,24,mobileapps,True,,,https://openrouter.ai/anthropic/claude-sonnet-4.5:batch,2026-08-22
Claude Sonnet 4.6,anthropic/claude-sonnet-4.6:batch,anthropic,1.5,7.5,0.15,1000000,5,mobileapps,True,,,https://openrouter.ai/anthropic/claude-sonnet-4.6:batch,2026-08-22
Gemini 3.5 Flash,google/gemini-3.5-flash,google,1.5,9.0,0.15,1048576,3,agenticslides(python-pptx),False,,,https://openrouter.ai/google/gemini-3.5-flash,2026-08-22
GPT-5.2,openai/gpt-5.2,openai,1.75,14.0,0.175,400000,18,godotgamedev,False,,,https://openrouter.ai/openai/gpt-5.2,2026-08-22
GPT-5.2-Codex,openai/gpt-5.2-codex,openai,1.75,14.0,0.175,400000,19,godotgamedev,False,,,https://openrouter.ai/openai/gpt-5.2-codex,2026-08-22
GPT-5.3-Codex,openai/gpt-5.3-codex,openai,1.75,14.0,0.175,400000,24,godotgamedev,False,,,https://openrouter.ai/openai/gpt-5.3-codex,2026-08-22
Qwen3.8 Max,qwen/qwen3.8-max,qwen,2.0,6.0,0.25,1000000,1,webapps,False,,,https://openrouter.ai/qwen/qwen3.8-max,2026-08-22
Grok 4.5,x-ai/grok-4.5,x-ai,2.0,6.0,0.3,500000,3,godotgamedev,False,,,https://openrouter.ai/x-ai/grok-4.5,2026-08-22
Grok 4.6,x-ai/grok-4.6,x-ai,2.0,6.0,0.5,500000,1,androidnative,False,,,https://openrouter.ai/x-ai/grok-4.6,2026-08-22
Claude Sonnet 5,anthropic/claude-sonnet-5,anthropic,2.0,10.0,0.2,1000000,4,agenticgamedev,False,,,https://openrouter.ai/anthropic/claude-sonnet-5,2026-08-22
Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,google,2.0,12.0,0.2,1048576,5,agentichtmlslides,False,,,https://openrouter.ai/google/gemini-3.1-pro-preview,2026-08-22
Claude Opus 4.5,anthropic/claude-opus-4.5:batch,anthropic,2.5,12.5,0.25,200000,10,mobileapps,True,,,https://openrouter.ai/anthropic/claude-opus-4.5:batch,2026-08-22
Claude Opus 4.6,anthropic/claude-opus-4.6:batch,anthropic,2.5,12.5,0.25,1000000,6,mobileapps,True,,,https://openrouter.ai/anthropic/claude-opus-4.6:batch,2026-08-22
Claude Opus 4.7,anthropic/claude-opus-4.7:batch,anthropic,2.5,12.5,0.25,1000000,1,agenticslides,True,,,https://openrouter.ai/anthropic/claude-opus-4.7:batch,2026-08-22
Claude Opus 4.8,anthropic/claude-opus-4.8:batch,anthropic,2.5,12.5,0.25,1000000,2,agenticgamedev,True,,,https://openrouter.ai/anthropic/claude-opus-4.8:batch,2026-08-22
Claude Opus 5,anthropic/claude-opus-5:batch,anthropic,2.5,12.5,0.25,1000000,3,fullstack,True,,,https://openrouter.ai/anthropic/claude-opus-5:batch,2026-08-22
GPT-5.4,openai/gpt-5.4,openai,2.5,15.0,0.25,1050000,22,godotgamedev,False,,,https://openrouter.ai/openai/gpt-5.4,2026-08-22
GPT-5.5,openai/gpt-5.5:batch,openai,2.5,15.0,0.25,1050000,7,agenticslides,True,,,https://openrouter.ai/openai/gpt-5.5:batch,2026-08-22
Claude Sonnet 4.5,anthropic/claude-sonnet-4.5,anthropic,3.0,15.0,0.3,1000000,24,mobileapps,False,,,https://openrouter.ai/anthropic/claude-sonnet-4.5,2026-08-22
Claude Sonnet 4.6,anthropic/claude-sonnet-4.6,anthropic,3.0,15.0,0.3,1000000,5,mobileapps,False,,,https://openrouter.ai/anthropic/claude-sonnet-4.6,2026-08-22
